/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
,"Lombard, Fabien"," Bourdin, Guillaume"," Pesant, Stephane"," Agostini, Sylvain"," Baudena, Alberto"," Boissin, Emilie"," Cassar, Nicolas"," Clampitt, Megan"," Conan, Pascal"," Da Silva, Ophélie"," Dimier, Céline"," Douville, Eric"," Elineau, A"," Fin, Jonathan"," Flores, J Michel"," Ghiglione, Jean Francois"," Hume, Benjamin C C"," Jalabert, Laetitia"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Yajuan"," Marie, Dominique"," McMinds, Ryan"," Meriguet, Zoe"," Metzl, Nicolas"," Paz-Garcíax, David A"," Pedrotti, Maria Luiza"," Poulain, Julie"," Pujo-Pay, Mireille"," Ras, Josephine"," Reverdin, Gilles"," Romac, Sarah"," Rouan, Alice"," Röttinger, Eric"," Vardi, Assaf"," Voolstra, Christian R"," Moulin, Clémentine"," Iwankow, Guillaume"," Banaigs, Bernard"," Bowler, Chris"," De Vargas, Colomban"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Sullivan, Matthew B"," Thomas, Olivier"," Troublé, Romain"," Vega Thurber, Rebecca"," Wincker, Patrick"," Zoccola, Didier"," Allemand, Denis"," Planes, Serge"," Boss, Emmanuel"," Gorsky, G (2023): Open science resources from the Tara Pacific expedition across coral reef and surface ocean ecosystems. Scientific Data, 10(1), 324, https://doi.org/10.1038/s41597-022-01757-w"
,"Picheral, Marc"," Searson, Sarah"," Taillandier, V"," Bricaud, Annick"," Boss, Emmanuel"," Ras, Josephine"," Claustre, Hervé"," Ouhssain, Mustapha"," Morin, Pascal"," Tremblay, Jean-Éric"," Coppola, Laurent"," Gattuso, Jean-Pierre"," Metzl, Nicolas"," Thuillier, Doris"," Gorsky, G"," Tara Oceans Consortium, Coordinators"," Tara Oceans Expedition, Participants (2014): Vertical profiles of environmental parameters measured on discrete water samples collected with Niskin bottles during the Tara Oceans expedition 2009-2013. PANGAEA, https://doi.org/10.1594/PANGAEA.836319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project(s):,Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tara Pacific Expedition (Tara_Pacific) (URI: https://fondationtaraocean.org/en/expedition/tara-pacific/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage:,MEDIAN LATITUDE: 2.096880 * MEDIAN LONGITUDE: -175.660487 * SOUTH-BOUND LATITUDE: -27.410217 * WEST-BOUND LONGITUDE: 112.022083 * NORTH-BOUND LATITUDE: 50.188467 * EAST-BOUND LONGITUDE: -12.435000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATE/TIME START: 2016-05-31T13:15:00 * DATE/TIME END: 2018-10-18T08:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MINIMUM DEPTH, water: 0.15 m * MAXIMUM DEPTH, water: 20.00 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event(s):,TARA_20160531T1315Z_D_O-SRF_DOLPHIN-CARBOY (OA003-I00-S00) * LATITUDE START: 43.881667 * LONGITUDE START: -12.435000 * LATITUDE END: 43.868317 * LONGITUDE END: -12.472017 * DATE/TIME START: 2016-05-31T13:15:00 * DATE/TIME END: 2016-05-31T13:34:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160607T1623Z_D_O-SRF_DOLPHIN-CARBOY (OA008-I00-S00) * LATITUDE START: 36.233600 * LONGITUDE START: -30.270917 * LATITUDE END: 36.208333 * LONGITUDE END: -30.300733 * DATE/TIME START: 2016-06-07T16:23:00 * DATE/TIME END: 2016-06-07T16:42:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160614T1233Z_D_O-SRF_DOLPHIN-CARBOY (OA014-I00-S00) * LATITUDE START: 28.170833 * LONGITUDE START: -47.125000 * LATITUDE END: 28.165833 * LONGITUDE END: -47.132333 * DATE/TIME START: 2016-06-14T12:33:00 * DATE/TIME END: 2016-06-14T12:38:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
